product_id,industry_id,exposure_score,rank
0,16131,3,2155.0
0,16156,34,578.0
0,16157,34,579.0
0,16139,14,1433.0
0,16139,9,1793.0
0,16639,28,764.0
0,16235,4,2113.0
0,16411,4,2114.0
0,16158,10,1722.0
0,16687,14,1434.0
0,16119,17,1234.0
0,16159,13,1497.0
0,16159,14,1435.0
0,16159,18,1182.0
0,16587,6,1991.0
0,16159,2,2205.0
0,16159,18,1183.0
0,16159,6,1992.0
0,16160,20,1083.0
0,16161,19,1118.0
0,16191,19,1119.0
0,16160,17,1235.0
0,16081,18,1184.0
0,16081,60,298.0
0,16738,12,1573.0
0,16738,14,1436.0
0,16738,5,2055.0
0,16351,11,1647.0
0,16692,26,838.0
0,16693,38,500.0
0,16693,18,1185.0
0,16450,23,950.0
0,16466,14,1437.0
0,16487,16,1305.0
0,16578,1,2272.0
0,16766,12,1574.0
0,16396,5,2056.0
0,16729,3,2156.0
0,16175,7,1930.0
0,16500,9,1794.0
0,16160,29,735.0
0,16234,5,2057.0
0,16123,16,1306.0
0,16169,32,647.0
0,16169,21,1033.0
0,16505,6,1993.0
0,16170,1,2273.0
0,16305,1,2274.0
0,16054,3,2157.0
0,16054,17,1236.0
0,16361,23,951.0
0,16730,37,518.0
0,16175,10,1723.0
0,16730,8,1867.0
0,16175,43,410.0
0,16561,12,1575.0
0,16159,73,266.0
0,16702,73,267.0
0,16599,14,1438.0
0,16774,8,1868.0
0,16446,25,875.0
0,16271,20,1084.0
0,16421,6,1994.0
0,16057,8,1869.0
0,16449,40,460.0
0,16446,1,2275.0
0,16451,27,801.0
0,16185,253,110.0
0,16194,22,991.0
0,16608,1,2276.0
0,16658,7,1931.0
0,16190,16,1307.0
0,16190,15,1358.0
0,16736,2,2206.0
0,16311,1,2277.0
0,16418,1,2278.0
0,16655,36,539.0
0,16529,1,2279.0
0,16704,13,1498.0
0,16727,16,1308.0
0,16468,41,442.0
0,16637,7,1932.0
0,16750,25,876.0
0,16244,42,431.0
0,16240,38,501.0
0,16385,9,1795.0
0,16756,9,1796.0
0,16611,33,619.0
0,16117,16,1309.0
0,16735,20,1085.0
0,16440,33,620.0
0,16204,1,2280.0
