ticker_id,product_id,exposure_bucket
15323,1350,Low
15323,5362,Low
15323,13356,Low
15323,12830,Low
15320,14584,Medium
15320,14586,Low
15320,14001,High
15328,11463,Medium
15328,8453,Low
15328,11460,Low
15328,11457,Low
15339,394,Low
15339,7277,Low
15339,13544,Low
15339,4524,Medium
15334,5463,Low
15334,3293,Low
15334,1034,Low
15334,1346,Low
15303,4846,High
15335,1294,High
15310,14234,High
15336,616,Low
15336,618,Medium
15336,11024,Low
15342,12833,Medium
15341,12184,Low
15341,8207,Low
15341,4385,High
15350,5287,Medium
15350,5625,Medium
15350,2229,Low
15356,5387,Low
15356,4475,Low
15356,5431,Low
15356,13358,Low
15353,5393,Low
15353,5108,High
15352,13381,Low
15352,9323,Low
15355,12939,Low
15355,13376,Medium
15355,3344,Medium
15382,5897,Low
15382,5902,Low
15382,3881,High
15393,1866,Low
15393,3295,Low
15393,9480,Low
15349,9805,Low
15349,5387,Low
15349,6293,High
15394,9590,Low
15394,9339,Low
15394,13604,Low
15394,2199,Low
15360,6552,Low
15361,9007,Low
15361,1630,Low
15363,4899,High
15348,8473,High
15364,5202,High
15674,11674,Medium
15674,3444,High
15370,7335,Low
15370,3428,High
15370,171,Low
15568,1843,High
15568,7970,Low
15365,6657,High
15367,10279,Low
15367,7670,High
15367,13381,Low
15384,2412,Low
15384,9554,Medium
15384,5275,Low
15384,27,Low
15578,100,Medium
15578,13311,Low
15578,9918,Medium
15362,4348,Low
15362,1503,Low
15362,2764,Low
15369,8721,Medium
15369,6475,Low
15369,2852,Medium
15378,3670,Medium
15378,7906,Medium
15378,131,Low
15375,6657,High
15368,11910,High
15591,7810,Low
15591,11567,Low
15371,6657,High
15372,5216,High
15347,6967,Low
15359,12993,Medium
15359,14357,Low
15359,8021,High
15687,5582,High
15391,6609,Medium
15391,6121,Low
15391,7199,High
15344,13144,High
15344,14617,Medium
15344,7937,Low
15374,11556,High
15374,8045,Low
15381,9960,High
15381,9975,Low
15351,8043,Medium
15351,14394,High
15882,8378,Low
15882,1763,High
15346,11548,Low
15346,8406,Low
15357,3619,Low
15357,12052,Low
15357,7001,Medium
15357,7000,Low
15358,14139,Low
15358,8457,Low
15380,1775,High
15373,7508,High
15390,781,High
15383,11339,High
15383,6951,Medium
15389,6285,Medium
15389,13143,High
15376,11650,Low
15377,6664,Medium
15379,5202,High
15386,7020,Low
15386,12036,Low
15388,6071,High
15392,4532,Low
15392,14275,Low
15392,3422,High
15354,12859,Low
15354,9359,Low
15404,4445,Low
15404,1074,Medium
15404,4446,Medium
15404,4437,Medium
15396,13628,Medium
15396,14139,Low
15396,3879,Medium
15396,99,Low
15403,14570,Medium
15403,14344,Low
15403,12921,Low
15399,9184,Low
15399,1362,Low
15399,5420,Low
15399,5387,Low
15395,12059,Low
15395,11469,Medium
15395,1507,Low
15398,3043,Low
15398,8550,Low
15398,3044,High
15397,10065,High
15400,8575,High
15400,10347,Low
15400,12361,Low
15400,14228,Low
15401,6261,Low
15401,5277,Medium
15401,6978,Low
15405,6657,High
15405,5416,Medium
15402,2477,Low
15402,203,Medium
15402,6050,Low
15402,12849,Low
15408,13396,Low
15408,14280,Low
15408,1669,Low
15406,11952,Medium
15406,13185,Medium
15406,7214,Low
15413,12981,Low
15413,4909,Low
15413,170,High
15421,5402,Low
15421,5386,High
15421,5382,Low
15411,3899,Low
15411,6241,Low
15411,6246,Medium
15411,9679,High
15412,439,Low
15412,427,High
15412,445,Low
15410,1503,High
15410,11447,Low
15410,4348,Low
15426,5621,Medium
15426,10864,Medium
15441,13615,Low
15441,12467,Medium
15441,8797,Medium
15441,12339,Low
15414,8568,Medium
15414,14287,Medium
15414,2313,Medium
15417,3564,Medium
15417,5386,Low
15417,8498,Medium
15415,5490,Low
15415,5418,Medium
15415,1372,Medium
15424,13305,Low
15424,13580,Low
15424,4895,Low
15424,12029,High
15425,10000,Low
15425,9983,Low
15430,11579,Low
15429,786,High
15416,13316,High
15416,4256,Medium
15428,9983,Low
15428,9930,Medium
15427,3444,Low
15427,6830,High
15427,4907,Low
15418,4522,Low
15418,9306,Low
15438,13155,Low
15438,14407,Low
15438,5283,Low
15438,4485,Low
15439,6757,High
15439,14420,Medium
15439,6754,Low
15433,14443,Medium
